T (K),density (kg/m3),source
273.15,1077.52815042,Bingham 1932
277.1476,1078.5,Perkin 1896
278.147,1077.57,Perkin 1896
283.144,1073.03,Perkin 1896
283.144,1068.15924118,Bingham 1932
288.141,1068.58,Perkin 1896
288.15,1070.898,Cunha 2013
290.6395,1066.0,Gladstone 1884
293.138,1064.36,Perkin 1896
293.138,1050.90588087,Bingham 1932
293.15,1066.7,Cheng 2000
293.15,1066.485,Cunha 2013
298.136,1060.17,Perkin 1896
298.136,1054.0,Dow 1935
298.15,1062.062,Cunha 2013
299.03564,1051.5,Bridgman 1932
303.134,1050.87274982,Bingham 1932
303.15,1057.638,Cunha 2013
308.15,1053.211,Cunha 2013
313.13,1042.06829716,Bingham 1932
313.15,1048.784,Cunha 2013
318.15,1044.353,Cunha 2013
323.15,1039.92,Cunha 2013
328.15,1035.483,Cunha 2013
333.124,1024.04456642,Bingham 1932
333.15,1031.042,Cunha 2013
338.15,1026.602,Cunha 2013
343.15,1022.153,Cunha 2013
353.123,1006.85669409,Bingham 1932
373.124,987.829935198,Bingham 1932
278.16,1079.87,Martins (2017) 2017
283.14,1075.48,Martins (2017) 2017
288.14,1071.07,Martins (2017) 2017
293.14,1066.66,Martins (2017) 2017
298.14,1062.25,Martins (2017) 2017
303.14,1057.83,Martins (2017) 2017
308.14,1053.41,Martins (2017) 2017
313.14,1048.99,Martins (2017) 2017
318.14,1044.56,Martins (2017) 2017
323.14,1040.13,Martins (2017) 2017
328.14,1035.7,Martins (2017) 2017
333.14,1031.26,Martins (2017) 2017
338.14,1026.81,Martins (2017) 2017
343.14,1022.36,Martins (2017) 2017
348.14,1017.9,Martins (2017) 2017
353.14,1013.44,Martins (2017) 2017
358.14,1008.97,Martins (2017) 2017
363.14,1004.49,Martins (2017) 2017
368.14,1000.0,Martins (2017) 2017
