temperature_K,vapor_pressure_kPa,source
451.2,49.076,de Wilde (1937)
452.3,50.5692,de Wilde (1937)
453.3,51.9957,de Wilde (1937)
454.3,53.1156,de Wilde (1937)
455.4,54.4355,de Wilde (1937)
456.4,55.9287,de Wilde (1937)
459.5,60.8083,de Wilde (1937)
461.7,64.2081,de Wilde (1937)
464.7,68.541,de Wilde (1937)
464.8,68.9277,de Wilde (1937)
466.7,72.5407,de Wilde (1937)
468.9,78.3402,de Wilde (1937)
471.9,82.5932,de Wilde (1937)
474.9,88.6327,de Wilde (1937)
477.1,93.219,de Wilde (1937)
479.9,99.8718,de Wilde (1937)
484.2,109.031,de Wilde (1937)
488.8,122.6966,de Wilde (1937)
494,137.0421,de Wilde (1937)
498.6,152.4408,de Wilde (1937)
499,153.3741,de Wilde (1937)
505.5,172.0925,de Wilde (1937)
